#             N = 1:              N = 2:             N = 10:            N = 100:
            -1.05318            -1.10359           -0.168111           -0.680262
            0.438796            -1.04741           0.0866577             2.16786
            0.666534            0.605191            0.939578            -3.87976
           -0.233757            -0.88734           -0.822846           -0.802332
             1.85375            -29.1339           -0.332611            -0.12903
            0.502607           -0.642579            0.283848            -19.6267
            -4.63648           -0.913937           -0.759695            -0.10771
           -0.111117             43.7829            -0.23798             0.78286
            -46.8982            -2.59255           -0.642189               4.974
            0.957471            -6.36582            -1.78251           0.0284084
            0.590608             23.0803            -1.46686            0.299768
            0.642255            0.268488             25.6189            -1.25116
            0.862123            0.875097             1.59632           -0.772858
            -2.54988            -17.3878              2.1669             2.64846
             3.93985           -0.912179             -2.6254           -0.434398
            -1.12415            -14.5965            0.617154            -3.54663
            -1.19535            -1.90173             1.20562           -0.195997
            0.869946            -3.15723             1.77522            -1.09403
             1.52107            -0.23087            -10.2249           -0.222588
            0.337212            -4.89996             0.63728             1.13818
           -0.551433            -1.19543           -0.269135             1.76209
              1.2495             6.12212            0.459969            0.226306
               -5.34             1.68312           -0.345429            -23.5332
            -1.37736            -1.74989            0.509898            -1.28729
            -0.67756            -0.93916             1.27334            -6.16851
           -0.397282           -0.178577            0.108789           -0.184177
           -0.248792            0.604797            -2.26542           0.0146412
             -2.5286             3.08847            0.926616             1.16204
           -0.186737            -0.15164            -1.24342            -1.65284
            -1.86828           -0.120555             1.28458             -1.1535
            0.135624            0.996744            -1.62261            0.368661
            0.713807             11.9211             1.39419            0.630475
            -2.34401            0.888951           -0.728728             5.77466
            0.908812            0.899971             0.36232            -1.74329
           -0.191971             0.99706            0.781161            -3.51168
            0.016223           -0.171855            -1.38499             277.121
             1.16232           -0.460577            -66.7327           -0.840516
             0.10566           -0.167958              1.1032            -3.42898
           -0.428459            0.642525            0.773728            0.133979
            -1.86865             1.11621            -1.17941           -0.622802
          0.00753857           -0.324348             1.10337            0.791173
           -0.252156           -0.129392           -0.806375            0.283925
           -0.186314          -0.0109343            -2.00843             2.33414
           -0.025204            0.453106            -1.70894            0.910401
           -0.385429            -1.19042           -0.554881             1.79213
          -0.0900614            0.372239                 9.2             1.83718
           -0.355539           -0.545449           -0.795416             1.73357
            0.265507             3.28826              54.853             1.44341
            0.678192             1.38548            -16.1077            0.756353
             4.09175            -1.43465            0.769483             3.19162
            0.392928           -0.814322            -4.41214           -0.537285
            0.101626             6.18265           -0.150976            0.727445
             1.24226             0.39208             2.07156             2.68971
            -4.27134            0.392788            -2.50885            0.535003
             1.96642            0.666946             1.45484             1.92247
            -1.22564           -0.555571            0.200342            -1.56159
             1.41353             1.93291             1.32533            -5.89382
          -0.0617819            -2.87225           -0.565747            0.814047
            0.469149           -0.133048             39.4563             1.42903
             3.88964            -3.65021           -0.489306            0.544913
           0.0408188            0.361251            -2.78344           -0.608737
             3.50841            0.576378            -3.32227           -0.324246
            0.191889            -1.59817             1.44659          -0.0279743
            -3.37371             0.26985              0.5194             1.20758
            0.182357           -0.231964            0.206889            -1.41648
          -0.0710126            0.365805            0.281009              1.1938
           -0.255193             1.56727           -0.497208             1.04775
           -0.700503            -4.89084            -2.77741             2.52621
             1.31107            -1.58764             6.41546            -2.52195
             -1.0578            0.379784           -0.638715             0.32135
            -74.3164            0.272686           -0.521881           -0.671035
           -0.193904            0.640034             2.02086             22.8467
           -0.849775             1.92086           -0.453399            -1.29785
           -0.805929            -1.00555           -0.989662            0.716959
             2.43013             1.27971           -0.952064             1.42987
           -0.365302            -1.61089            -11.9796             1.65954
            0.261555             7.87971             -1.1214             5.64849
             9.15221             3.29297           -0.196026             2.84138
             2.15295           -0.628666           -0.345367            0.778919
            0.662897            0.188198           -0.374915            -0.69889
            -4.40487             2.56473            0.509074             3.97925
         -0.00478574           -0.456259             6.23732           -0.916957
           -0.013852            -1.46505          -0.0597949            -1.63574
           -0.897696              0.2262             1.47184             41.0843
            -3.74758            0.723443              1.3312            0.390785
            0.212402             2.22712              3.2918            -4.13374
           -0.295699            0.122137              1.0136            -0.22975
             2.37181           -0.165867             3.98248              1.1505
           -0.781589            0.148068             151.627            0.806485
           0.0991968             7.14369           -0.625323             0.45684
           -0.980693            0.473152            0.653857            -2.23758
            -5.67242           -0.544788           -0.491837           -0.645135
             6.23467             6.09874          -0.0979992            0.652311
             2.49335            0.288929            0.740835           0.0910544
            -11.7813             2.58807            0.307226           -0.910813
             11.0863             1.83808             1.24457             1.22731
              3.0605            0.916552            0.857004           -0.756236
           -0.503848             1.20019             8.45353             1.40402
             1.13524             4.44049            0.216051             -3.9999
             5.99997             1.55404            0.851891            0.363486
             2.16409            -1.90163           0.0131042            0.525431
            -1.35071            -2.34735            -2.92959             1.72059
            0.527126            -1.22369            0.666466            0.113297
             0.35301            -9.03946             19.5736             4.87712
           -0.464449             2.42215           -0.761848         -0.00511903
            -6.56359            -15.5072            0.735336          -0.0314122
             4.23023             1.59869            0.469662             2.38417
             3.45738             1.13337             1.85676             -0.4327
             5.55784            -1.74626            0.442398           -0.107021
             1.56718            -5.18982             2.66419            0.808416
           -0.278626            0.375072             2.11907             4.45203
            -1.78531             2.60693            0.741549            -1.99058
            0.553421             2.40423           -0.597163            -2.19148
            0.488297            -1.18717            0.132329            0.101425
            -1.84553          0.00547252             3.77651            0.908865
            0.465852           0.0508001            -1.94041            -1.03507
           0.0844116            -2.31259            0.146509            -1.31709
           -0.218533           -0.391568           -0.971422            0.302794
             2.57893             2.09582             1.56795            0.253121
            -2.26402             3.39183             -3.6411           -0.727398
            0.794399             1.14501           -0.867107            0.958653
           -0.749312             -1.5733          -0.0433455            0.480824
            0.247572             1.18884             0.25493           -0.251279
           -0.859038           -0.792355           -0.247888             5.52922
            -1.22997            -1.00179           -0.987289             1.48568
           0.0576336            0.399634            -1.73842          -0.0864578
         -0.00578173            -10.1696            -3.32367            -1.39316
            -131.438           -0.939986            -1.35147            -2.10767
            -2.45352             -1.8186           -0.893101            -2.54709
            0.529987             8.36295            -17.5683            -1.19626
            0.812204         -0.00524103             4.99378             2.02425
            0.825532            -1.50096            -3.25862            -2.31052
             2.20076           -0.717633           -0.479931             1.25146
             4.03448           0.0514898              1.3477           -0.682512
           -0.206235            0.221304           -0.389444            -8.53531
            0.484979            0.197682            0.737146            0.207434
           -0.367161            -6.96331            -128.688            0.462045
              1.2694            0.955985           -0.525084            -3.33771
              -1.139             2.59384            0.384861           0.0269319
            -2.25583            0.285938            0.457221            -1.83883
            -3.10092          -0.0359264              2.1129             5.00198
           -0.643244          -0.0834969           -0.919098            0.310588
             6.53394            0.956494            -2.05558            0.763567
          -0.0235976             1.31861           -0.578565          -0.0653128
            -3.61435            -1.23416           -0.104272           0.0168426
           0.0089502             1.21057             2.01314            0.102492
            -1.83351             2.13724          0.00540707           -0.145982
           -0.430346            -1.57376            0.525718            0.406241
           -0.276288           -0.637934            0.777414            -1.46138
           -0.229332           -0.249531            0.553367            0.718366
            0.615014             0.38998            -4.94501            -1.94534
           -0.255835            0.204259            0.435011            -1.00571
           -0.760843              2.5107          -0.0379649             -1.0055
          -0.0823733            -0.11754           -0.271875           -0.167854
            0.180668           -0.538767           -0.807325            0.196201
             1.34706             1.41032             1.91459            -8.16744
           -0.327897             1.20394             1.09506            -4.97451
            -5.65558            -4.57998            0.334071            0.888776
            0.259493           -0.623728             25.0287            0.255653
           -0.689382            0.943536            0.615068           -0.862278
            0.144404            0.308399            0.169222            0.613527
             2.45603           -0.628145             1.51415            0.246059
            -2.35949           -0.839716            -1.07795           -0.382691
             4.12152            -1.00113             1.74718             9.43421
            0.809881            0.100481           -0.458774             2.11724
            -3.47184            0.955286            -1.06183             1.25829
        -0.000173952             0.36364            0.752996             0.11892
             2.33455             1.18625            -1.02493             1.21916
            -19.2999            0.785272            -7.00732            -4.62835
             0.45471            -3.32394            0.518909           -0.303144
           -0.467969            -6.69014            0.379406            0.924639
             2.45114            0.691214             -13.293            -1.36955
            0.523911           0.0803269             2.76308             3.61161
            0.795716            0.358461            0.144394            -3.79886
             4.35333            -46.6422              8.0119           -0.440487
           -0.924211            -2.51118            -2.00739             3.49337
            -1.02397          -0.0379714           -0.142137           -0.220191
            0.397556           -0.109347             1.48909            -3.43726
            -1.80212            -1.77027            0.729439            0.323407
            0.295409           -0.111928            0.834827            0.114268
            0.606892             2.01798           -0.478509            0.321615
            -8.72309            0.258591            0.340001           -0.794775
            0.310344             4.68432            -7.05129            -1.16248
           -0.384504            -1.24785           -0.697807            -1.15376
              1.0839            0.770487            -2.86596            -1.61738
            -0.47064             1.39589            -2.42211            0.040839
           -0.434341             -0.1182             2.22034             1.20278
            -4.41138           -0.858181            0.277284            0.300783
           -0.796157             1.61112             2.67247            0.848516
           -0.900965           -0.712076            -2.03709           -0.350631
             1.55174           -0.734417            0.668915            -1.48574
            0.686992            0.437006            -23.6846             4.57815
            -1.24446            0.495966            -1.62901             1.80002
             14.1276            -1.74027             0.15832            0.241721
             1.00166            -1.06671            0.877087           -0.947487
             1.43801           -0.197413             6.78835             9.05509
             1.00227             5.24716            -0.56061            -1.01461
           -0.116244           -0.593826             14.6463           -0.857574
             12.4158         -0.00368907          -0.0783343           -0.411125
            0.258469            0.866079           -0.818948             -4.0723
           -0.913177             1.92198             3.59096            0.604277
            -2.19818           -0.904503           -0.377141              3.2266
            -9.39897            0.873114              3.1902            0.590326
             1.02445             21.4213             3.25021             1.82185
            0.534125            -1.72348             11.1783             1.15101
            0.508474            0.569057              1.2053            -8.44085
            0.459677           -0.853599            -2.13605            0.137873
            -2.56199            0.397159            -13.1383            0.818658
            -0.36062            -1.92335            -4.90569             6.94598
             1.44541            -2.94925            0.335666            0.367403
           -0.302983           -0.285883            -1.43692            0.397408
             4.68316            -53.3761            -6.33231            -5.03736
            -1.04055            0.537765              4.7082           -0.453338
             2.00725            0.772323            -2.14723             5.09406
              1.6063           0.0426825            0.512724              0.7298
            -2.62549            -1.36287           -0.402126            -4.61137
             -15.847            -2.15354             0.45714             9.12367
            0.460358           -0.425986            -1.14653            0.866826
          -0.0843789            -1.48314            0.735535            -1.35971
             2.10582              -3.869             11.9326           -0.452637
          -0.0682492             0.63772           -0.415982            -1.87237
           -0.784855           -0.418865            0.892435            -0.17416
            0.481406            0.982005            -1.40789            -5.70587
            -4.26323            -1.71897           -0.517616             2.13976
             4.39193            -6.21202             3.56245            -0.32242
            0.225011           -0.955259            0.271729              8.7915
            -1.86504           -0.647065            -1.23193             8.27318
            0.229091            0.857506           -0.079165          -0.0651623
           -0.537672            -4.66911           -0.593149              3.2993
            0.115572             1.61201             1.31173             2.47868
            -1.27938             4.81767             0.52089          -0.0649655
            0.354854            -1.16995             5.93297             -2.3809
             0.77828           -0.658957            0.193682            -6.08825
            -1.06778             1.24324             2.57656            -0.55557
            -1.02627            0.701823             2.05338            0.170158
            -6.53549           -0.387587            -2.87464             2.33736
            0.264048             -2.3812           -0.110207          -0.0660738
            -2.88415           -0.231624            0.762715            -1.07638
             -3.8856            -1.12025            -2.75536            -1.38602
            -0.22008            0.663699             2.14176            0.839742
           -0.634766             0.19272            0.359547            -1.61567
           -0.356111           -0.755616             1.30751             2.00112
           -0.407767             -5.6626             14.1849           -0.322228
            -1.25136            -2.46498             5.30833            0.257643
             -1.2807           -0.961691             6.20942             1.38989
           -0.913721             1.66516             4.54819             1.34745
            0.712812             3.59721            -15.1931            0.273628
             1.93797           -0.226389            -0.76656           -0.446618
            -2.05607           -0.665864           -0.389054            -3.51315
           -0.598417            0.909253            -6.14167             2.07417
             -3.1078             2.02921             1.47512           0.0579584
            0.555787            0.982954           -0.329653             1.15885
          -0.0159992             1.76654            0.752129             2.24104
           -0.148112            -2.99817           -0.463135           -0.921323
           -0.304973            -1.05247            0.794499           0.0557564
            -2.22154             10.2654            -1.61298            -8.92829
             2.47496           -0.409924           -0.152149              2.2913
            -258.392             3.60134           -0.993086           -0.215008
           -0.407885            0.576992             4.20829            -3.53059
          -0.0440491            0.290113            0.324102            -1.39342
             1.48147             2.24841            -0.91229           -0.467909
             9.68342            -0.44724           -0.442706           -0.775392
           -0.457919           -0.865163           -0.964722           0.0170403
             2.55252             2.77417             5.31858           -0.244411
            0.266272            -1.16335              1.0553           -0.441688
             6.98993          -0.0946998           -0.756599            -2.29249
            -0.43731             4.66723             1.07016           -0.985891
           -0.211326            -1.34233           -0.204348            0.167675
             1.57485             1.78743             2.35815            -1.61745
             2.36945           -0.326906            -7.56165            -8.66397
           -0.320589            -1.31742           -0.144613            0.240795
            0.601923            0.545986           -0.177039            -7.67818
            0.911484           0.0509309            -15.8587             8.47311
             2.31319            0.553177            0.859732          -0.0067915
            0.526972            -7.97449            0.252248            -2.00637
            0.788341            -2.25602           -0.725282            0.261074
            0.757069             2.19321            0.352427             4.18117
           -0.353598            -9.18836           -0.128603             1.06254
           -0.592211             1.81611             1.31672           -0.011538
            -3.29042             3.55214           -0.823749            -2.01887
             1.38914             2.54675             1.54217             2.71783
             2.80486            -0.36761            -1.64153          -0.0669487
            -1.46955           0.0680414             1.13991            0.537095
          -0.0667822            -10.4764           0.0980077          -0.0222897
             2.75693            0.894089          -0.0910183           -0.210998
            -2.00981            -1.81172            -0.72847            -1.67668
           -0.100355            0.193668             1.33319           -0.118439
            -1.62344             1.24471           -0.786358            0.319194
             4.65496            -1.73531             1.93119           -0.200379
           -0.613978            0.175913             0.40354            -1.30755
            -1.13698          -0.0872947            0.711082           -0.946939
            -4.80181            -1.09278             6.58516             1.24622
             0.18903            -1.33533            0.186997             1.22877
             1.24743            0.390105            -1.04025            -1.06812
           -0.833493            0.551164             1.33354             3.61056
             3.73008          0.00501675             1.04299           -0.126012
            0.881505             5.29577            -5.63915             2.17767
            0.475807             5.01458             6.41814            0.589731
            -1.52817           -0.462288            0.837784             -5.7545
           0.0823872            -1.75687            0.329798           0.0115097
            0.574752          -0.0051047            -14.8619             2.80608
             0.13203             8.99043            -18.5185             1.67905
             2.85166             1.81255           -0.437288            -1.17032
           0.0113648            -2.47138           -0.600585            -1.04005
             0.73972             1.08359             4.85279             0.16497
             9.14711            -2.01654            0.715971             -2.2218
              12.252           0.0167578             2.10321           -0.510604
            -19.6581            0.293361            0.508113           -0.138976
            0.182906          -0.0815417            0.248202            -8.15976
           -0.680988            -3.69872             10.6528           -0.511887
            -10.0843            -0.11505             1.13297            0.369183
            -0.95331             1.72703           -0.513884            -1.22003
            -9.61621            -2.33669            -1.22635              7.6548
           -0.114455            0.845363           -0.396566            0.452169
             1.24603            0.115249            -2.50171             1.28525
             3.28806             1.03791             7.35837             1.31029
           -0.418514            -4.66403            -1.03136            -1.44366
            0.672143           0.0796069           -0.181886           -0.831107
            -0.43675             1.40424           -0.168234           -0.133294
            -1.53951            -3.66889           -0.785023            -3.48324
            0.176359             1.69377             -1.7648           0.0565372
            -1.56354             2.98233            0.366081            -0.43192
           -0.509603             3.68729             1.78019           0.0997519
           -0.513766             -13.866            0.818639           -0.116107
          -0.0332533             1.27645              1.8391           -0.128477
           -0.424621            -18.8786             0.21055           0.0483918
             0.80288           -0.213273           -0.100026             23.5898
           -0.775699             14.9874             0.14654             2.11058
          -0.0792363             1.58186            0.838682             3.66657
             7.09916            0.741989            -3.80146            0.223895
             2.24167            -1.53217             0.63479            -2.01736
           -0.861586           -0.340017           -0.735239           -0.221101
             1.67723            -1.56461             1.87713             5.78771
            -12.5619             3.75735             50.0511           -0.560262
            0.226472             1.76417            0.615891             0.41728
            0.231374           0.0721729             2.15557           -0.567532
           -0.918864          -0.0493834           -0.747066           -0.186145
            -4.44742             5.07547             1.59133            0.606757
          -0.0866668            -0.43058            0.122461            -1.59204
           -0.094405           -0.573927             20.8448           -0.513608
            0.736771           0.0330426            -5.03453             -1.5935
            0.119425           -0.580068           -0.848048            0.349349
             0.19815           0.0359808           -0.462749           -0.082523
            0.757168             17.3789          -0.0439903            -4.48696
           -0.241291            0.423089            -1.90246            0.470797
           -0.944483           -0.708352             1.42107             3.35494
             1.89039            0.211448           -0.695533             1.06686
            0.209411             3.68669           -0.196825            -2.06033
             6.63897            -1.70543              1.1369           -0.179691
            -1.10548            -2.14782            0.857206             1.66695
            -5.18685            -2.63108             1.41309            0.408114
            -2.79114             4.08566             1.05428            -3.16438
           -0.517188            0.264558            0.185118             3.17588
            0.224387             47.1243           -0.586487           -0.782392
             3.41576            0.194351            -2.09805             0.13086
           -0.945373            -11.7017            0.510611           -0.182019
            0.563309             6.86793             1.94096            -7.04851
            -1.22279            0.015688            -1.81202            -1.02278
             2.41428            -1.57275            -2.51691           -0.862689
             -5.4054           -0.271069            0.267091            0.868904
           -0.504802           -0.909592             1.15918             10.7469
           -0.183966            -2.33093            -3.22703           -0.610602
             3.30419            -20.7316             4.28986            -4.26374
            -1.56728             -2.3643             1.74323            0.424202
           -0.192787           0.0523743            -4.08335            0.582155
            0.314121             7.58605            -14.9833            0.284305
           -0.621156             1.15953            0.210652             -4.3851
            -13.9066             0.41539             3.59744           -0.170889
            -1.67571            0.090491           -0.738246            0.472142
            -3.07149            0.143519           -0.654485             2.01047
            -2.26882             11.8242            0.113454            0.627323
            -1.36562            0.682579            0.163766           -0.247347
           -0.488846           -0.559455           -0.549016           -0.329955
             1.44272            0.488738            -4.23381             1.16527
            -1.35767             28.2356            -2.17145             4.88787
           -0.730301             33.5479            -3.99867             4.55127
             0.54945            0.979125           -0.818254           -0.231401
            -2.90437            -17.7021           -0.917356            0.254044
            0.101487            0.432295            -2.87701             1.01492
             2.42703            -4.32742             3.48348           -0.338992
            -5.25581            0.793996           -0.549595             1.07196
            0.756363             2.27171            -12.0899             14.5568
            -1.24116             1.50589           -0.407702            -0.57053
           -0.466507             2.50566             1.22752            -2.50925
            -1.12715            -2.27877            -3.00767           -0.918168
           0.0769483             2.91116           -0.575488             8.58248
            -9.60784             1.29153             3.78903            0.480033
            -6.80907            -1.85468            0.345468             4.98418
            -1.14816           -0.681467           -0.567057             12.8727
           -0.171591           -0.147558            0.450363            -0.45326
           -0.939922             4.11079            0.346183           0.0457119
            -2.01855            -4.47499            -2.74335              1.9464
             0.84464            -2.96214           -0.101602           -0.684448
             1.18136             1.05945           0.0268997            0.155789
               23.09           -0.136785            0.112935            -1.69476
           -0.432501           -0.645684           -0.623262            0.453547
               0.224            0.341455            -1.02303             0.35089
           -0.140311            0.899884           -0.202306            0.639652
            0.408412            -1.42785            0.669022             1.08045
            0.803831             1.14243             2.40516             -1.8718
             1.09273            0.398322            -2.15156             2.18679
            0.926423            -1.21003          -0.0259131              1.6248
           -0.253396             1.70433            0.676483           -0.159615
            0.899398            0.666731            0.271808            0.220005
             5.04613             1.18163             1.03607            0.181967
              -3.136            0.940427            -6.15279             2.93532
            0.473848             1.30805             1.34922            -5.54922
           -0.396962            0.842137            -6.86221           -0.914882
           -0.138866           0.0348854           -0.571143            -1.16695
            -2.16138            0.719618             -1.9006            -6.10873
             4.15073            -1.29471           -0.248823            0.615904
            -1.92283           -0.737224             1.92742            -2.34908
            0.775323            0.128384            0.853933            -7.44834
            0.957951             1.14844            -158.304            0.334465
            0.339376            -2.99361            -4.23067            0.175503
          0.00148079           -0.088536             18.3389            -1.11095
           -0.955159             0.22079             5.97144            -2.89926
            0.633105            0.412686            -4.26134             0.95829
             3.53042             3.11477           -0.381224           -0.310757
             1.60809            0.516914           -0.307054            0.812071
            0.312037             1.60506             1.38567            0.162915
              -2.703            0.890215           -0.947354            0.942479
             1.92303             2.54031            -20.5202           -0.729697
             0.70215            -271.051           -0.633326            0.638461
           -0.786726            -1.12341          0.00137302            -2.08438
            0.522334           -0.530386            0.157057            0.837136
             1.32921            -8.10105             2.53885             1.95617
          -0.0673884            -9.62395             10.2695             5.67851
           -0.927612            -24.2324               2.267              3.4647
             1.51164           -0.892684            0.358327             2.46742
             1.57851            0.523015            -14.4703            -1.06672
            -1.84192             18.4382            0.302708           -0.427574
             9.97822            -18.7171            0.272893           -0.540012
            -3.88271            -1.92422             1.11339           0.0854623
            -2.36832             5.20167            -1.83457            -1.95322
            -1.51688          -0.0214937            -1.06238            -2.80938
             1.06737             9.65966            0.536727             2.12614
             6.97755             2.88208             3.64196            -255.946
            0.677001            0.229275            -2.67333             1.51552
            -1.15073           -0.164623             12.5361             1.94048
             2.58804             2.87506             1.36601            -1.67646
            0.456053           -0.170333            0.558282             6.91629
            -1.52875             -4.1531           -0.301185          -0.0866458
            -5.95689            0.860867            -2.44239           0.0620673
            0.513237          -0.0866615            -2.16626           0.0343086
            0.612355            -2.18589             -1.0428            0.190752
            0.122463            0.944781             1.25536           -0.834443
            -1.85604             -1.2708             8.93683            0.575593
            -5.45929            -1.20256              3.9762            -0.24892
            0.970416           -0.110659           -0.756677           -0.861378
            0.364243             1.54172            -1.19998            -4.27874
            -1.59694            0.481518             2.89942           -0.112687
             2.63847            0.671156            -1.42493             4.17831
           -0.800914            0.800925            -33.9321           0.0582488
            0.278144        -0.000320027           0.0562226             1.50106
           -0.443382            -1.10806            -7.02318             25.2341
           -0.128265           -0.246463           -0.280454             4.61634
           -0.612524            -2.51033            0.181468              1.4202
             1.29384            0.017981            0.808346             0.18211
           -0.356707            -1.99574            -0.09325             10.6282
            -5.39958            0.406072            -7.08318            0.282048
           0.0282798           -0.710015            0.387322             1.12613
             46.8747            -2.85001             1.67984            -3.67253
            -1.98273           -0.432716             3.10403           -0.195512
           -0.206449           -0.502858            0.224573            0.388515
            0.642604            0.190526            -1.40858            -5.16907
           -0.363493           -0.942092           -0.104125           0.0324496
            -5.28415              2.2374           -0.388593              -2.914
           -0.104241             6.28137             1.35094          -0.0829878
            -4.61077            -2.19011           -0.637082           -0.913648
             1.47718            -1.60453             0.69523             1.17293
             11.9169           -0.319524             1.16015             1.40407
            -4.99305            -2.60322            0.118617             1.45384
            -25.1021           -0.811982            0.118138          -0.0154178
            -1.74406            0.768802            0.131453           0.0191802
           -0.519733             -1.7349            -2.06432            -1.32522
           0.0914746            -2.35447            -0.45746            -8.09307
           0.0632512            0.734542             1.69585            -7.34256
           -0.344168            0.791737            0.862122          -0.0101795
            -1.95156             8.82008            0.891955              1.1771
             3.84205             1.81795           -0.649258             6.34329
             2.34961             41.8796            -2.07613           -0.979912
            0.225707            0.414859            -2.63274            -1.68577
             2.60284           -0.698203            -1.06987            0.217915
            0.363523            -2.69193             0.48567           -0.279713
